qualified_name,name,class,lineno,async,decorators,file,A2該当,A2細分類,内容区分,備考,status
gwexpy.timeseries.collections.TimeSeriesDict.hilbert,hilbert,TimeSeriesDict,61,False,[],gwexpy/collections.py,Yes,A2-d,数値,kw,
gwexpy.timeseries.collections.TimeSeriesDict.envelope,envelope,TimeSeriesDict,68,False,[],gwexpy/collections.py,No,非A2,非数値,,
gwexpy.timeseries.collections.TimeSeriesDict.instantaneous_phase,instantaneous_phase,TimeSeriesDict,75,False,[],gwexpy/collections.py,No,非A2,非数値,,
gwexpy.timeseries.collections.TimeSeriesDict.to_mne,to_mne,TimeSeriesDict,88,False,[],gwexpy/collections.py,No,非A2,非数値,,
gwexpy.timeseries.collections.TimeSeriesDict.from_mne,from_mne,TimeSeriesDict,95,False,['classmethod'],gwexpy/collections.py,No,非A2,非数値,,
gwexpy.timeseries.collections.TimeSeriesDict.from_control,from_control,TimeSeriesDict,102,False,['classmethod'],gwexpy/collections.py,No,非A2,非数値,,
gwexpy.timeseries.collections.TimeSeriesDict.radian,radian,TimeSeriesDict,129,False,[],gwexpy/collections.py,No,非A2,非数値,,
gwexpy.timeseries.collections.TimeSeriesDict.degree,degree,TimeSeriesDict,136,False,[],gwexpy/collections.py,No,非A2,非数値,,
gwexpy.timeseries.collections.TimeSeriesDict.unwrap_phase,unwrap_phase,TimeSeriesDict,145,False,[],gwexpy/collections.py,No,非A2,非数値,,
gwexpy.timeseries.collections.TimeSeriesDict.instantaneous_frequency,instantaneous_frequency,TimeSeriesDict,152,False,[],gwexpy/collections.py,No,非A2,非数値,,
gwexpy.timeseries.collections.TimeSeriesDict.mix_down,mix_down,TimeSeriesDict,159,False,[],gwexpy/collections.py,No,非A2,非数値,,
gwexpy.timeseries.collections.TimeSeriesDict.baseband,baseband,TimeSeriesDict,166,False,[],gwexpy/collections.py,Yes,A2-d,数値,kw,
gwexpy.timeseries.collections.TimeSeriesDict.heterodyne,heterodyne,TimeSeriesDict,173,False,[],gwexpy/collections.py,Yes,A2-d,数値,kw,
gwexpy.timeseries.collections.TimeSeriesDict.lock_in,lock_in,TimeSeriesDict,180,False,[],gwexpy/collections.py,No,非A2,非数値,,
gwexpy.timeseries.collections.TimeSeriesDict.csd_matrix,csd_matrix,TimeSeriesDict,211,False,[],gwexpy/collections.py,Yes,A2-c,数値,kw,
gwexpy.timeseries.collections.TimeSeriesDict.coherence_matrix,coherence_matrix,TimeSeriesDict,263,False,[],gwexpy/collections.py,Yes,A2-c,数値,kw,
gwexpy.timeseries.collections.TimeSeriesDict.csd,csd,TimeSeriesDict,320,False,[],gwexpy/collections.py,Yes,A2-c,数値,kw,
